ISSN,Título,Estrato,quadrienio
1029-8436,THE INTERNATIONAL JOURNAL OF PAVEMENT ENGINEERING,A2,2021-2024
1040-8398,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,A1,2021-2024
1040-8444,CRITICAL REVIEWS IN TOXICOLOGY,A1,2021-2024
1041-1135,IEEE PHOTONICS TECHNOLOGY LETTERS,A2,2021-2024
1042-7201,FORENSIC SCIENCE REVIEW,A3,2021-2024
1042-9832,RANDOM STRUCTURES & ALGORITHMS (PRINT),A2,2021-2024
1043-4666,CYTOKINE,A2,2021-2024
1044-0305,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,A2,2021-2024
1044-7318,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,A1,2021-2024
1046-283X,COMPUTATIONAL MATHEMATICS AND MODELING,B2,2021-2024
1046-8781,SIMULATION & GAMING,A1,2021-2024
1047-3203,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION (PRINT),A3,2021-2024
1049-331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,A1,2021-2024
1049-4820,INTERACTIVE LEARNING ENVIRONMENTS,A1,2021-2024
1050-2947,PHYSICAL REVIEW. A,A2,2021-2024
1050-6926,THE JOURNAL OF GEOMETRIC ANALYSIS,A1,2021-2024
1050-7256,"THYROID (NEW YORK, N.Y.)",A1,2021-2024
1051-2004,DIGITAL SIGNAL PROCESSING (PRINT),A2,2021-2024
1051-8215,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY (PRINT),A1,2021-2024
1051-9815,"WORK (READING, MA)",B1,2021-2024
1052-6234,SIAM JOURNAL ON OPTIMIZATION (PRINT),A1,2021-2024
1053-2498,THE JOURNAL OF HEART AND LUNG TRANSPLANTATION,A1,2021-2024
1053-5888,IEEE SIGNAL PROCESSING MAGAZINE (PRINT),A1,2021-2024
1054-1500,"CHAOS (WOODBURY, N.Y.)",A2,2021-2024
1054-660X,LASER PHYSICS,A4,2021-2024
1055-4181,TECHNOLOGY AND DISABILITY,B1,2021-2024
1055-6788,OPTIMIZATION METHODS & SOFTWARE (PRINT),A2,2021-2024
1057-5219,INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,A1,2021-2024
1057-7149,IEEE TRANSACTIONS ON IMAGE PROCESSING,A1,2021-2024
1058-6180,IEEE ANNALS OF THE HISTORY OF COMPUTING,A4,2021-2024
1061-1967,RUSSIAN STUDIES IN PHILOSOPHY,B4,2021-2024
1061-3773,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,A1,2021-2024
1061-4036,NATURE GENETICS (PRINT),A1,2021-2024
1063-0732,THE JOURNAL OF URBAN TECHNOLOGY,A1,2021-2024
1063-4584,OSTEOARTHRITIS AND CARTILAGE,A1,2021-2024
1063-651X,"PHYSICAL REVIEW E - STATISTICAL PHYSICS, PLASMAS, FLUIDS AND RELATED INTERDISCIPLINARY TOPICS",A2,2021-2024
1063-6692,IEEE/ACM TRANSACTIONS ON NETWORKING (PRINT),A2,2021-2024
1063-6706,IEEE TRANSACTIONS ON FUZZY SYSTEMS,A1,2021-2024
1063-8016,JOURNAL OF DATABASE MANAGEMENT,A4,2021-2024
1063-8210,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS (PRINT),A2,2021-2024
1064-1246,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,A4,2021-2024
1064-7570,JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,A2,2021-2024
1064-8275,SIAM JOURNAL ON SCIENTIFIC COMPUTING (PRINT),A1,2021-2024
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,A3,2021-2024
1066-8888,THE VLDB JOURNAL,A1,2021-2024
1068-5200,OPTICAL FIBER TECHNOLOGY (PRINT),A3,2021-2024
1068-8471,JOURNAL OF THEORETICAL AND PHILOSOPHICAL PSYCHOLOGY,B1,2021-2024
1068-9605,INTERNATIONAL JOURNAL OF WIRELESS INFORMATION NETWORKS,A2,2021-2024
1069-2509,INTEGRATED COMPUTER-AIDED ENGINEERING,A1,2021-2024
1070-6631,PHYSICS OF FLUIDS (1994),A1,2021-2024
1070-986X,IEEE MULTIMEDIA,A2,2021-2024
1070-9908,IEEE SIGNAL PROCESSING LETTERS,A1,2021-2024
1070-9932,IEEE ROBOTICS & AUTOMATION MAGAZINE,A2,2021-2024
1071-5819,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES (PRINT),A1,2021-2024
1072-5520,INTERACTIONS,B1,2021-2024
1073-0516,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,A2,2021-2024
1073-9149,INSTRUMENTATION SCIENCE & TECHNOLOGY,A4,2021-2024
1074-5351,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS (PRINT),A4,2021-2024
1074-9357,TOPICS IN STROKE REHABILITATION,A1,2021-2024
1076-9757,THE JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH (PRINT),A2,2021-2024
1076-9986,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,A2,2021-2024
1077-2626,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,A1,2021-2024
1077-3142,COMPUTER VISION AND IMAGE UNDERSTANDING (PRINT),A2,2021-2024
1077-8926,THE ELECTRONIC JOURNAL OF COMBINATORICS,A3,2021-2024
1078-8956,NATURE MEDICINE (PRINT),A1,2021-2024
1080-5370,GPS SOLUTIONS (HEIDELBERG),A1,2021-2024
1080-6040,EMERGING INFECTIOUS DISEASES (PRINT),A1,2021-2024
1081-4159,JOURNAL OF DEAF STUDIES AND DEAF EDUCATION,A1,2021-2024
1081-597X,JOURNAL OF REFRACTIVE SURGERY (1995),A2,2021-2024
1082-6076,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES (PRINT),B1,2021-2024
1083-6489,ELECTRONIC JOURNAL OF PROBABILITY,A2,2021-2024
1084-4309,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,A4,2021-2024
1084-6654,ACM JOURNAL OF EXPERIMENTAL ALGORITHMICS,A4,2021-2024
1084-8045,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,A1,2021-2024
1086-055X,SPE JOURNAL (SOCIETY OF PETROLEUM ENGINEERS (U.S.). 1996),A2,2021-2024
1088-467X,INTELLIGENT DATA ANALYSIS (PRINT),B2,2021-2024
1089-778X,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,A1,2021-2024
1089-7801,IEEE INTERNET COMPUTING,A2,2021-2024
1090-2724,JOURNAL OF COMPUTER AND SYSTEM SCIENCES (ONLINE),A3,2021-2024
1091-9856,INFORMS JOURNAL ON COMPUTING,A4,2021-2024
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,A2,2021-2024
1094-4060,THE INTERNATIONAL JOURNAL OF ACCOUNTING,A2,2021-2024
1094-4087,OPTICS EXPRESS,A2,2021-2024
1094-6136,JOURNAL OF SCHEDULING,A3,2021-2024
1094-6969,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,A4,2021-2024
1096-9128,CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE,A2,2021-2024
1097-0037,NETWORKS (NEW YORK ONLINE),A4,2021-2024
1097-0118,JOURNAL OF GRAPH THEORY (ONLINE),A3,2021-2024
1097-0134,PROTEINS (ONLINE),A3,2021-2024
1097-0193,HUMAN BRAIN MAPPING,A1,2021-2024
1097-024X,SOFTWARE: PRACTICE AND EXPERIENCE,A2,2021-2024
1097-198X,JOURNAL OF GLOBAL INFORMATION TECHNOLOGY MANAGEMENT,A2,2021-2024
1098-111X,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,C,2021-2024
1098-1241,SYSTEMS ENGINEERING (PRINT),A4,2021-2024
1098-3015,VALUE IN HEALTH,A1,2021-2024
1098-8823,PROSTAGLANDINS & OTHER LIPID MEDIATORS,A4,2021-2024
1099-0755,AQUATIC CONSERVATION (ONLINE),A2,2021-2024
1099-1131,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,A4,2021-2024
1099-114X,INTERNATIONAL JOURNAL OF ENERGY RESEARCH,C,2021-2024
1099-1190,INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT (ONLINE),A3,2021-2024
1099-1239,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,A1,2021-2024
1099-128X,JOURNAL OF CHEMOMETRICS (ONLINE),A2,2021-2024
1099-1689,"SOFTWARE TESTING, VERIFICATION AND RELIABILITY",A4,2021-2024
1099-4300,ENTROPY (BASEL. ONLINE),A2,2021-2024
1101-1262,EUROPEAN JOURNAL OF PUBLIC HEALTH,A1,2021-2024
1134-3060,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,A1,2021-2024
1134-5632,MATHWARE & SOFT COMPUTING,B4,2021-2024
1134-5764,TOP (MADRID),A2,2021-2024
1135-5948,PROCESAMIENTO DEL LENGUAJE NATURAL,A1,2021-2024
1137-3601,INTELIGENCIA ARTIFICIAL,A4,2021-2024
1166-3081,JOURNAL OF APPLIED NON-CLASSICAL LOGICS,A2,2021-2024
1175-5334,ZOOTAXA (ONLINE),B1,2021-2024
1176-2322,APPLIED BIONICS AND BIOMECHANICS,B1,2021-2024
1176-3647,JOURNAL OF EDUCATIONAL TECHNOLOGY & SOCIETY,A1,2021-2024
1177-9322,BIOINFORMATICS AND BIOLOGY INSIGHTS,A1,2021-2024
1178-2390,JOURNAL OF MULTIDISCIPLINARY HEALTHCARE,A2,2021-2024
1206-212X,INTERNATIONAL JOURNAL OF COMPUTERS & APPLICATIONS,A3,2021-2024
1213-6972,JOURNAL OF WSCG,B3,2021-2024
1225-6463,ETRI JOURNAL,A3,2021-2024
1226-086X,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY - KOREAN SOCIETY OF INDUSTRIAL AND ENGINEERING CHEMISTRY,A1,2021-2024
1229-2370,JOURNAL OF COMMUNICATIONS AND NETWORKS (SEOUL. PRINT),A3,2021-2024
1234-3099,DISCUSSIONES MATHEMATICAE. GRAPH THEORY,A3,2021-2024
1234-950X,ACTA ANGIOLOGICA,B4,2021-2024
1270-6841,ETUDES DE COMMUNICATION,A2,2021-2024
1286-4579,MICROBES AND INFECTION,A1,2021-2024
1286-4854,EPL (EUROPHYSICS LETTERS),A4,2021-2024
1290-0729,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,A1,2021-2024
1290-385X,RAIRO – THEORETICAL INFORMATICS AND APPLICATIONS,B3,2021-2024
1290-3868,RECHERCHE OPÉRATIONNELLE,A4,2021-2024
1292-8119,ESAIM CONTROL OPTIMIZATION AND CALCULUS VARIATIONS,A2,2021-2024
1309-1042,ATMOSPHERIC POLLUTION RESEARCH,A2,2021-2024
1314-2828,BIODIVERSITY DATA JOURNAL,A4,2021-2024
1319-1578,JOURNAL OF KING SAUD UNIVERSITY - COMPUTER AND INFORMATION SCIENCES,A1,2021-2024
1331-1441,KINESIOLOGY (ZAGREB),B1,2021-2024
1335-9150,COMPUTING AND INFORMATICS,B2,2021-2024
1338-4333,JOURNAL OF HYDROLOGY AND HYDROMECHANICS,A3,2021-2024
1343-8875,JOURNAL OF VISUALIZATION,A4,2021-2024
1346-9843,CIRCULATION JOURNAL,A2,2021-2024
1348-9151,PACIFIC JOURNAL OF OPTIMIZATION (PRINT),B2,2021-2024
1350-4495,INFRARED PHYSICS & TECHNOLOGY,A2,2021-2024
1350-4851,APPLIED ECONOMICS LETTERS (PRINT),A1,2021-2024
1350-911X,ELECTRONICS LETTERS (ONLINE),A4,2021-2024
1351-0088,ENDOCRINE-RELATED CANCER,A2,2021-2024
1351-3249,NATURAL LANGUAGE ENGINEERING (PRINT),A1,2021-2024
1352-2310,ATMOSPHERIC ENVIRONMENT,A1,2021-2024
1352-3252,LEGAL THEORY (PRINT),A1,2021-2024
1352-8661,MAGMA,A3,2021-2024
1353-3452,SCIENCE AND ENGINEERING ETHICS,A1,2021-2024
1355-0306,SCIENCE & JUSTICE,A3,2021-2024
1359-4184,MOLECULAR PSYCHIATRY,A1,2021-2024
1359-4311,APPLIED THERMAL ENGINEERING,A1,2021-2024
1359-4338,VIRTUAL REALITY (WALTHAM CROSS),A1,2021-2024
1359-6454,ACTA MATERIALIA (OXFORD),A1,2021-2024
1359-7620,PSYCHIATRY ON-LINE,B4,2021-2024
1360-0451,AIDS CARE,A3,2021-2024
1360-2276,TM & IH. TROPICAL MEDICINE AND INTERNATIONAL HEALTH (PRINT),A2,2021-2024
1360-2357,EDUCATION AND INFORMATION TECHNOLOGIES,A1,2021-2024
1361-1682,TRANSACTIONS IN GIS (PRINT),A3,2021-2024
1361-4568,NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA,A3,2021-2024
1361-8415,MEDICAL IMAGE ANALYSIS (PRINT),A1,2021-2024
1362-3001,BEHAVIOUR & INFORMATION TECHNOLOGY (ONLINE),A1,2021-2024
1362-3052,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING (ONLINE),A1,2021-2024
1362-3079,JOURNAL OF EXPERIMENTAL AND THEORETICAL ARTIFICIAL INTELLIGENCE (ONLINE),A2,2021-2024
1362-4962,NUCLEIC ACIDS RESEARCH (ONLINE),A1,2021-2024
1364-0321,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,A1,2021-2024
1364-503X,"PHILOSOPHICAL TRANSACTIONS - ROYAL SOCIETY. MATHEMATICAL, PHYSICAL AND ENGINEERING SCIENCES (PRINT)",A1,2021-2024
1364-5072,JOURNAL OF APPLIED MICROBIOLOGY (PRINT),A3,2021-2024
1364-8152,ENVIRONMENTAL MODELLING & SOFTWARE,A1,2021-2024
1365-2052,ANIMAL GENETICS,A1,2021-2024
1365-2869,JOURNAL OF SLEEP RESEARCH,A1,2021-2024
1365-313X,THE PLANT JOURNAL,A1,2021-2024
1365-8050,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE (ONLINE),B2,2021-2024
1365-8816,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE (PRINT),A1,2021-2024
1366-5545,"TRANSPORTATION RESEARCH. PART E, LOGISTICS AND TRANSPORTATION REVIEW",A1,2021-2024
1366-588X,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,A1,2021-2024
1366-5901,INTERNATIONAL JOURNAL OF REMOTE SENSING (ONLINE),A2,2021-2024
1367-0751,LOGIC JOURNAL OF THE IGPL (PRINT),A1,2021-2024
1367-4803,BIOINFORMATICS (OXFORD. PRINT),A1,2021-2024
1367-4811,BIOINFORMATICS (OXFORD. ONLINE),A1,2021-2024
1367-5788,ANNUAL REVIEWS IN CONTROL,A1,2021-2024
1368-5031,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE (ESHER),A2,2021-2024
1368-8375,ORAL ONCOLOGY (1997),A1,2021-2024
1368-9800,PUBLIC HEALTH NUTRITION (WALLINGFORD),A1,2021-2024
1370-4621,NEURAL PROCESSING LETTERS,A4,2021-2024
1380-7501,MULTIMEDIA TOOLS AND APPLICATIONS,A2,2021-2024
1381-1231,JOURNAL OF HEURISTICS,A2,2021-2024
1382-3256,EMPIRICAL SOFTWARE ENGINEERING,A2,2021-2024
1382-6905,JOURNAL OF COMBINATORIAL OPTIMIZATION,A3,2021-2024
1383-469X,JOURNAL ON SPECIAL TOPICS IN MOBILE NETWORKS AND APPLICATIONS,A2,2021-2024
1383-7621,JOURNAL OF SYSTEMS ARCHITECTURE,A2,2021-2024
1384-5810,DATA MINING AND KNOWLEDGE DISCOVERY,A1,2021-2024
1384-6175,GEOINFORMATICA,A2,2021-2024
1385-2256,PRECISION AGRICULTURE (PRINT),A1,2021-2024
1385-8947,CHEMICAL ENGINEERING JOURNAL (1996),A1,2021-2024
1386-1425,"SPECTROCHIMICA ACTA. PART A, MOLECULAR AND BIOMOLECULAR SPECTROSCOPY (PRINT)",A1,2021-2024
1386-145X,WORLD WIDE WEB,A2,2021-2024
1386-2588,AQUATIC ECOLOGY (PRINT),A3,2021-2024
1386-4564,INFORMATION RETRIEVAL,A2,2021-2024
1386-5056,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,A1,2021-2024
1386-7857,CLUSTER COMPUTING,A2,2021-2024
1387-2532,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,A4,2021-2024
1387-2877,JOURNAL OF ALZHEIMER'S DISEASE,A2,2021-2024
1387-974X,PHOTONIC NETWORK COMMUNICATIONS,A4,2021-2024
1388-5545,NEMATOLOGY (LEIDEN. PRINT),A4,2021-2024
1389-0417,COGNITIVE SYSTEMS RESEARCH,A3,2021-2024
1389-1286,COMPUTER NETWORKS,A1,2021-2024
1389-2037,CURRENT PROTEIN AND PEPTIDE SCIENCE,B1,2021-2024
1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,A2,2021-2024
1389-4420,OPTIMIZATION AND ENGINEERING (PRINT),A3,2021-2024
1392-6292,MATHEMATICAL MODELLING AND ANALYSIS,A1,2021-2024
1396-0466,FIRST MONDAY (ONLINE),A1,2021-2024
1405-213X,BOLETÍN DE LA SOCIEDAD MATEMÁTICA MEXICANA,A3,2021-2024
1413-2060,DOXA: REVISTA BRASILEIRA DE PSICOLOGIA E EDUCAÇÃO,A4,2021-2024
1413-8123,CIÊNCIA E SAÚDE COLETIVA (IMPRESSO),A1,2021-2024
1413-8670,THE BRAZILIAN JOURNAL OF INFECTIOUS DISEASES (IMPRESSO),A3,2021-2024
1413-9014,CADERNOS DO IME. SÉRIE INFORMÁTICA,C,2021-2024
1414-431X,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,A2,2021-2024
1414-462X,CADERNOS SAÚDE COLETIVA (UFRJ),B1,2021-2024
1414-5685,REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇÃO,A3,2021-2024
1414-7327,CONCILIUM (BRASIL),A2,2021-2024
1414-8145,ESCOLA ANNA NERY,A4,2021-2024
1414-8498,TECNOLOGIA & CULTURA (CEFET/RJ),B3,2021-2024
1414-8862,ELETRÔNICA DE POTÊNCIA (IMPRESSO),B1,2021-2024
1415-4757,GENETICS AND MOLECULAR BIOLOGY (IMPRESSO),A3,2021-2024
1415-8876,AMBIENTE CONSTRUÍDO,A3,2021-2024
1420-0597,COMPUTATIONAL GEOSCIENCES (AMSTERDAM),A2,2021-2024
1420-2026,ENVIRONMENTAL MODELING & ASSESSMENT,A3,2021-2024
1420-3049,MOLECULES (BASEL. ONLINE),A2,2021-2024
1420-326X,INDOOR + BUILT ENVIRONMENT,A2,2021-2024
1422-0067,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES (ONLINE),A1,2021-2024
1424-1250,INTERNATIONAL JOURNAL ON MEDIA MANAGEMENT,A3,2021-2024
1424-8220,SENSORS (BASEL),A4,2021-2024
1424-8247,PHARMACEUTICALS,A2,2021-2024
1431-9276,MICROSCOPY AND MICROANALYSIS (PRINT),A1,2021-2024
1432-010X,REQUIREMENTS ENGINEERING,A2,2021-2024
1432-0541,ALGORITHMICA (NEW YORK. INTERNET),A4,2021-2024
1432-1076,EUROPEN JOURNAL OF PEDIATRICS,A2,2021-2024
1432-1769,MACHINE VISION AND APPLICATIONS (INTERNET),A3,2021-2024
1432-1882,MULTIMEDIA SYSTEMS (ONLINE),A2,2021-2024
1432-2056,POLAR BIOLOGY,A3,2021-2024
1432-2315,THE VISUAL COMPUTER (INTERNET),A2,2021-2024
1432-4350,THEORY OF COMPUTING SYSTEMS,B1,2021-2024
1432-5012,INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES (PRINT),A2,2021-2024
1432-7643,SOFT COMPUTING (BERLIN. PRINT),A1,2021-2024
1433-2779,INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER (PRINT),A4,2021-2024
1433-2833,INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION (PRINT),A3,2021-2024
1433-3015,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY (INTERNET),A2,2021-2024
1433-3058,NEURAL COMPUTING & APPLICATIONS (INTERNET),A1,2021-2024
1433-7479,SOFT COMPUTING,A1,2021-2024
1433-7541,PATTERN ANALYSIS AND APPLICATIONS (PRINT),A2,2021-2024
1433-755X,PATTERN ANALYSIS AND APPLICATIONS,A2,2021-2024
1433-8157,JOURNAL FOR GEOMETRY AND GRAPHICS,B4,2021-2024
1434-4483,THEORETICAL AND APPLIED CLIMATOLOGY,A2,2021-2024
1434-6028,"THE EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER PHYSICS (PRINT)",A4,2021-2024
1434-6036,"EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER AND COMPLEX SYSTEMS (INTERNET)",A4,2021-2024
1434-8411,AEU - INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,A2,2021-2024
1435-5558,"COGNITION, TECHNOLOGY & WORK (PRINT)",A1,2021-2024
1435-5566,COGNITION TECHNOLOGY & WORK,A1,2021-2024
1435-5930,JOURNAL OF GEOGRAPHICAL SYSTEMS (PRINT),A4,2021-2024
1436-3240,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT (PRINT),A1,2021-2024
1436-3771,CLINICAL ORAL INVESTIGATIONS (INTERNET),A1,2021-2024
1436-4522,EDUCATIONAL TECHNOLOGY & SOCIETY,A1,2021-2024
1436-4646,MATHEMATICAL PROGRAMMING (ONLINE),A1,2021-2024
1436-5057,COMPUTING (WIEN. INTERNET),A1,2021-2024
1438-793X,FUNCTIONAL & INTEGRATIVE GENOMICS (PRINT),A2,2021-2024
1438-8871,JMIR. JOURNAL OF MEDICAL INTERNET RESEARCH,A1,2021-2024
1439-0469,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH (ONLINE),C,2021-2024
1448-5869,INTERNATIONAL JOURNAL OF HYBRID INTELLIGENT SYSTEMS,A2,2021-2024
1460-2059,BIOINFORMATICS (ONLINE),A1,2021-2024
1460-2067,COMPUTER JOURNAL (ONLINE),A4,2021-2024
1460-4582,HEALTH INFORMATICS JOURNAL,A2,2021-2024
1460-7425,JASSS (GUILDFORD),A3,2021-2024
1461-3484,"JOURNAL OF LOW FREQUENCY NOISE, VIBRATION AND ACTIVE CONTROL",A2,2021-2024
1461-4448,NEW MEDIA & SOCIETY (PRINT),A1,2021-2024
1462-6268,DIGITAL CREATIVITY (EXETER),A2,2021-2024
1462-9011,ENVIRONMENTAL SCIENCE & POLICY,A1,2021-2024
1463-5771,BENCHMARKING: AN INTERNATIONAL JOURNAL,A1,2021-2024
1463-7154,BUSINESS PROCESS MANAGEMENT JOURNAL,A1,2021-2024
1463-9076,PCCP. PHYSICAL CHEMISTRY CHEMICAL PHYSICS (PRINT),A2,2021-2024
1463-9084,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,A2,2021-2024
1464-5149,HISTORY AND PHILOSOPHY OF LOGIC,A3,2021-2024
1465-363X,JOURNAL OF LOGIC AND COMPUTATION,A2,2021-2024
1466-8033,CRYSTENGCOMM (CAMBRIDGE. ONLINE),A2,2021-2024
1467-0895,INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,A1,2021-2024
1467-6370,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,A1,2021-2024
1467-8640,COMPUTATIONAL INTELLIGENCE (ONLINE),A1,2021-2024
1467-8659,COMPUTER GRAPHICS FORUM (ONLINE),A2,2021-2024
1467-9272,PROFESSIONAL GEOGRAPHER,A2,2021-2024
1467-9671,TRANSACTIONS IN GIS,A3,2021-2024
1468-0394,EXPERT SYSTEMS (ONLINE),A2,2021-2024
1468-0408,FINANCIAL ACCOUNTABILITY & MANAGEMENT (ONLINE),A1,2021-2024
1468-0629,ROAD MATERIALS AND PAVEMENT DESIGN,A2,2021-2024
1468-1218,NONLINEAR ANALYSIS: REAL WORLD APPLICATIONS,A1,2021-2024
1469-0268,INTERNATIONAL JOURNAL ON COMPUTATIONAL INTELLIGENCE AND APPLICATIONS,B1,2021-2024
1469-7793,THE JOURNAL OF PHYSIOLOGY,A1,2021-2024
1469-8005,KNOWLEDGE ENGINEERING REVIEW (ONLINE),A3,2021-2024
1470-1626,REPRODUCTION (CAMBRIDGE),A1,2021-2024
1470-6431,INTERNATIONAL JOURNAL OF CONSUMER STUDIES,A1,2021-2024
1470-9503,INTERNATIONAL JOURNAL OF NETWORKING AND VIRTUAL ORGANISATIONS,B1,2021-2024
1471-2105,BMC BIOINFORMATICS,A1,2021-2024
1471-2164,BMC GENOMICS,A3,2021-2024
1471-2288,BMC MEDICAL RESEARCH METHODOLOGY (ONLINE),A1,2021-2024
1471-2334,BMC INFECTIOUS DISEASES (ONLINE),A3,2021-2024
1471-2369,BMC NEPHROLOGY,A3,2021-2024
1471-2393,BMC PREGNANCY AND CHILDBIRTH (ONLINE),A1,2021-2024
1471-244X,BMC PSYCHIATRY (ONLINE),A1,2021-2024
1471-2458,BMC PUBLIC HEALTH (ONLINE),A1,2021-2024
1471-678X,IMA JOURNAL OF MANAGEMENT MATHEMATICS (PRINT),A2,2021-2024
1472-0817,JOURNAL OF CONSUMER BEHAVIOUR,A1,2021-2024
1472-6920,BMC MEDICAL EDUCATION (ONLINE),A2,2021-2024
1472-6947,BMC MEDICAL INFORMATICS AND DECISION MAKING (ONLINE),A1,2021-2024
1472-6963,BMC HEALTH SERVICES RESEARCH (ONLINE),A1,2021-2024
1472-9792,TUBERCULOSIS (EDINBURGH),A4,2021-2024
1473-8716,INFORMATION VISUALIZATION,A3,2021-2024
1474-0346,ADVANCED ENGINEERING INFORMATICS,A1,2021-2024
1475-2875,MALARIA JOURNAL (ONLINE),A3,2021-2024
1475-3081,THEORY AND PRACTICE OF LOGIC PROGRAMMING (ONLINE),A1,2021-2024
1475-3995,INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,A2,2021-2024
1475-925X,BIOMEDICAL ENGINEERING ONLINE (ONLINE),A2,2021-2024
1475-9276,INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH (ONLINE),A1,2021-2024
1476-1289,INTERNATIONAL JOURNAL OF WEB ENGINEERING AND TECHNOLOGY,B4,2021-2024
1476-542X,DENTOMAXILLOFACIAL RADIOLOGY (ONLINE),A1,2021-2024
1476-8186,INTERNATIONAL JOURNAL OF AUTOMATION AND COMPUTING,A3,2021-2024
1476-9271,COMPUTATIONAL BIOLOGY AND CHEMISTRY (PRINT),A2,2021-2024
1477-0369,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL (ONLINE),A4,2021-2024
1477-4054,BRIEFINGS IN BIOINFORMATICS,A1,2021-2024
1477-7266,JOURNAL OF HEALTH ORGANIZATION AND MANAGEMENT,A4,2021-2024
1477-8386,INTERNATIONAL JOURNAL OF LEARNING TECHNOLOGY (PRINT),B2,2021-2024
1478-0887,QUALITATIVE RESEARCH IN PSYCHOLOGY (PRINT),A1,2021-2024
1478-3363,TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,A1,2021-2024
1516-084X,INFORMÁTICA NA EDUCAÇÃO (IMPRESSO),A4,2021-2024
1516-5388,EDUCAÇÃO MATEMÁTICA PESQUISA (IMPRESSO),A1,2021-2024
1516-9375,ESPAÇO E GEOGRAFIA (UNB),A3,2021-2024
1517-0306,PRINCIPIA (JOÃO PESSOA),B2,2021-2024
